basepair_type,hbond_w_h,hbond,num_hbonds
AA_cWW,N1-H6,N1-N6,1
AC_cWW,H6-N3,N6-N3,1
AG_cWW,N1-H1,N1-N1,2
AG_cWW,H6-O6,N6-O6,2
AU_cWW,N1-H3,N1-N3,2
AU_cWW,H6-O4,N6-O4,2
CC_cWW,N3-H4,N3-N4,1
CG_cWW,H4-O6,N4-O6,3
CG_cWW,N3-H1,N3-N1,3
CG_cWW,O2-H2,O2-N2,3
CU_cWW,H4-O4,N4-O4,2
GU_cWW,O6-H3,O6-N3,2
GU_cWW,H1-O2,N1-O2,1
UU_cWW,O4-H3,O4-N3,2
UU_cWW,H3-O2,N3-O2,2
AA_tWW,H6-N1,N6-N1,2
AA_tWW,N1-H6,N1-N6,2
AC_tWW,H6-N3,N6-N3,2
AC_tWW,N1-H4,N1-N4,2
AU_tWW,H6-O2,N6-O2,2
AU_tWW,N1-H3,N1-N3,2
CC_tWW,H4-O2,N4-O2,2
CC_tWW,O2-H4,O2-N4,2
CG_tWW,N3-H2,N3-N2,2
CG_tWW,O2-H1,O2-N1,2
CU_tWW,N3-H3,N3-N3,2
CU_tWW,H4-O2,N4-O2,2
GG_tWW,H1-O6,N1-O6,2
GG_tWW,O6-H1,O6-N1,2
GU_tWW,O6-H3,O6-N3,2
GU_tWW,H1-O4,N1-O4,2
UU_tWW,H3-O4,N3-O4,2
UU_tWW,O4-H3,O4-N3,2
AG_cWH,H6-O6,N6-O6,1
CC_cWH,N3-H4,N3-N4,1
CG_cWH,H4-O6,N4-O6,1
GA_cWH,O6-H6,O6-N6,1
GG_cWH,H1-O6,N1-O6,2
GG_cWH,H2-N7,N2-N7,2
UA_cWH,O4-H6,O4-N6,2
UA_cWH,H3-N7,N3-N7,2
UG_cWH,H3-N7,N3-N7,1
UU_cWH,O4-H3,O4-N3,1
AA_tWH,N1-H6,N1-N6,2
AA_tWH,H6-N7,N6-N7,2
AG_tWH,H6-N7,N6-N7,1
CA_tWH,N3-H6,N3-N6,2
CA_tWH,H4-N7,N4-N7,2
CC_tWH,O2-H4,O2-N4,1
CG_tWH,H4-N7,N4-N7,1
GG_tWH,H1-N7,N1-N7,2
GG_tWH,H2-O6,N2-O6,2
GU_tWH,H1-O4,N1-O4,2
GU_tWH,H2-O4,N2-O4,2
UA_tWH,H3-N7,N3-N7,2
UA_tWH,O2-H6,O2-N6,2
UG_tWH,H3-N7,N3-N7,1
UU_tWH,H3-O4,N3-O4,1
AA_cWS,H6-N3,N6-N3,1
AC_cWS,N1-H2',N1-O2',2
AC_cWS,H6-O2,N6-O2,2
AG_cWS,N1-H2',N1-O2',3
AG_cWS,H6-O2',N6-O2',3
AG_cWS,H6-N3,N6-N3,3
AU_cWS,N1-H2',N1-O2',2
AU_cWS,H6-O2,N6-O2,2
CA_cWS,N3-H2',N3-O2',2
CA_cWS,H4-N3,N4-N3,2
CC_cWS,N3-H2',N3-O2',3
CC_cWS,O2-H2',O2-O2',3
CC_cWS,H4-O2,N4-O2,3
CG_cWS,H4-N3,N4-N3,1
CU_cWS,N3-H2',N3-O2',3
CU_cWS,O2-H2',O2-O2',3
CU_cWS,H4-O2,N4-O2,3
GA_cWS,H1-N3,N1-N3,2
GA_cWS,H2-O2',N2-O2',2
GC_cWS,H1-O2,N1-O2,3
GC_cWS,H2-O2',N2-O2',3
GC_cWS,H2-O2,N2-O2,3
GG_cWS,O6-H2,O6-N2,2
GG_cWS,H2-O2',N2-O2',2
GU_cWS,H1-O2,N1-O2,2
GU_cWS,H2-O2,N2-O2,2
UA_cWS,H3-N3,N3-N3,2
UA_cWS,O2-H2',O2-O2',2
UG_cWS,O4-H2,O4-N2,2
UG_cWS,H3-N3,N3-N3,2
UU_cWS,H3-O2,N3-O2,1
AA_tWS,H6-N3,N6-N3,1
AC_tWS,H6-O2',N6-O2',2
AC_tWS,H6-O2,N6-O2,2
AG_tWS,H6-N3,N6-N3,3
AG_tWS,H6-O2',N6-O2',3
AG_tWS,N1-H2,N1-N2,3
CA_tWS,H4-N3,N4-N3,1
CC_tWS,O2-H4,O2-N4,1
CG_tWS,H4-O2',N4-O2',3
CG_tWS,H4-N3,N4-N3,3
CG_tWS,N3-H2,N3-N2,3
GC_tWS,O6-H2',O6-O2',3
GC_tWS,H1-O2,N1-O2,3
GC_tWS,H2-O2,N2-O2,3
GU_tWS,H1-O2,N1-O2,2
GU_tWS,H2-O2,N2-O2,2
UA_tWS,H3-N3,N3-N3,2
UA_tWS,O4-H2',O4-O2',2
UC_tWS,H3-O2,N3-O2,1
UG_tWS,O2-H2,O2-N2,1
UU_tWS,O2-H3,O2-N3,1
AG_cHH,H6-O6,N6-O6,1
CG_cHH,No H-bonds,No H-bonds,0
GG_cHH,No H-bonds,No H-bonds,1
AA_tHH,H6-N7,N6-N7,2
AA_tHH,N7-H6,N7-N6,2
AC_tHH,N7-H4,N7-N4,1
AG_tHH,H6-O6,N6-O6,1
AU_tHH,H6-O4,N6-O4,1
CG_tHH,H4-N7,N4-N7,1
CU_tHH,H4-O4,N4-O4,1
GG_tHH,No H-bonds,No H-bonds,0
AA_cHS,H6-N3,N6-N3,1
AC_cHS,H6-O2,N6-O2,1
AG_cHS,N7-H2,N7-N2,1
AU_cHS,H6-O2,N6-O2,2
AU_cHS,H2'-N7,O2'-N7,2
CA_cHS,H4-N3,N4-N3,1
CC_cHS,H4-O2,N4-O2,1
CG_cHS,H4-O2',N4-O2',1
CU_cHS,H4-O2,N4-O2,1
GA_cHS,No H-bonds,No H-bonds,0
GG_cHS,H2-O6,N2-O6,1
UA_cHS,No H-bonds,No H-bonds,0
UG_cHS,O4-H2,O4-N2,1
UU_cHS,No H-bonds,No H-bonds,0
AA_tHS,H6-N3,N6-N3,2
AA_tHS,H6-O2',N6-O2',2
AC_tHS,H6-O2,N6-O2,2
AC_tHS,H6-O2',N6-O2',2
AG_tHS,H6-N3,N6-N3,3
AG_tHS,H6-O2',N6-O2',3
AG_tHS,N7-H2,N2-N2,3
AU_tHS,H6-O2',N6-O2',2
AU_tHS,H6-O2,N6-O2,2
CA_tHS,H4-N3,N4-N3,2
CA_tHS,H4-O2',N4-O2',2
CC_tHS,H4-O2,N4-O2,2
CC_tHS,H4-O2',N4-O2',2
CU_tHS,H4-O2,N4-O2,2
CU_tHS,H4-O2',N4-O2',2
GG_tHS,H2-O6,N2-O6,1
UA_tHS,No H-bonds,No H-bonds,0
UG_tHS,O4-H2,O4-N2,1
AA_cSS,N3-H2',N3-O2',1
AC_cSS,H2'-O2,O2'-O2,1
AG_cSS,N3-H2,N3-N2,2
AG_cSS,H2'-N3,O2'-N3,2
AU_cSS,No H-bonds,No H-bonds,0
CC_cSS,H2'-O2,O2'-O2,1
CG_cSS,O2-H2,O2-N2,2
CG_cSS,H2'-N3,O2'-N3,2
CU_cSS,H2'-O2,O2'-O2,1
GG_cSS,N3-H2,N3-N2,2
GG_cSS,H2'-N3,O2'-N3,2
GU_cSS,H2'-O2,O2'-O2,1
UU_cSS,H2'-O2,O2'-O2,1
AA_tSS,N1-H2',N1-O2',2
AA_tSS,H6-O2',N6-O2',2
AC_tSS,N1-H2',N1-O2',1
AG_tSS,N3-H2,N3-N2,2
AG_tSS,N1-H2',N1-O2',2
AU_tSS,N1-H2',N1-O2',1
GC_tSS,H2-O2,N2-O2,1
GG_tSS,H2-N3,N2-N3,3
GG_tSS,N3-H2,N3-N2,3
GG_tSS,H2-O2',N2-O2',3
GU_tSS,H2-O2,N2-O2,2
GU_tSS,H2-O2',N2-O2',2
